2025-04-01 09:57:14,293 - INFO - System Monitor: Starting system monitoring...
2025-04-01 09:57:14,296 - INFO - CPU: Usage: 0.0%
2025-04-01 09:57:14,296 - INFO - Memory: Usage: 44.4%
2025-04-01 09:57:14,366 - INFO - System Info: Hostname: 10PC324
2025-04-01 09:57:14,367 - INFO - System Info: Operating System: Windows 10
2025-04-01 09:57:14,431 - INFO - Software: PID: 3968, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,432 - INFO - Software: PID: 4016, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,433 - INFO - Software: PID: 4040, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,433 - INFO - Software: PID: 4048, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,434 - INFO - Software: PID: 4232, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,434 - INFO - Software: PID: 4248, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,435 - INFO - Software: PID: 4432, Name: RuntimeBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,435 - INFO - Software: PID: 4476, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,436 - INFO - Software: PID: 4488, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,437 - INFO - Software: PID: 4500, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,437 - INFO - Software: PID: 4520, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,438 - INFO - Software: PID: 4528, Name: OneApp.IGCC.WinService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,438 - INFO - Software: PID: 4536, Name: client32.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,439 - INFO - Software: PID: 4544, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,440 - INFO - Software: PID: 4568, Name: mDNSResponder.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,441 - INFO - Software: PID: 4580, Name: EwServer.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,442 - INFO - Software: PID: 4588, Name: hasplms.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,442 - INFO - Software: PID: 4624, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,443 - INFO - Software: PID: 4632, Name: acwebbrowser.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,443 - INFO - Software: PID: 4664, Name: FNPLicensingService64.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,444 - INFO - Software: PID: 4708, Name: RtkAudUService64.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,444 - INFO - Software: PID: 4716, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,445 - INFO - Software: PID: 4736, Name: AdobeUpdateService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,445 - INFO - Software: PID: 4748, Name: vmware-authd.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,446 - INFO - Software: PID: 4760, Name: AdskLicensingService.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,446 - INFO - Software: PID: 4768, Name: SWVisualize.BoostService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,447 - INFO - Software: PID: 4780, Name: SWVisualize.Queue.Server.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,448 - INFO - Software: PID: 4792, Name: spnsrvnt.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,448 - INFO - Software: PID: 4800, Name: sntlkeyssrvr.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,449 - INFO - Software: PID: 4808, Name: sntlsrtsrvr.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,449 - INFO - Software: PID: 4816, Name: register-service.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,450 - INFO - Software: PID: 4824, Name: sqlwriter.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,451 - INFO - Software: PID: 4832, Name: vmnetdhcp.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,451 - INFO - Software: PID: 4840, Name: vmware-usbarbitrator64.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,452 - INFO - Software: PID: 4848, Name: FNPLicensingService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,452 - INFO - Software: PID: 4916, Name: LMS.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,453 - INFO - Software: PID: 4928, Name: vmnat.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,453 - INFO - Software: PID: 4980, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,454 - INFO - Software: PID: 5068, Name: svchost.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,454 - INFO - Software: PID: 5076, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,455 - INFO - Software: PID: 5108, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,456 - INFO - Software: PID: 5116, Name: WMIRegistrationService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,458 - INFO - Software: PID: 5168, Name: WmiPrvSE.exe, Username; NT AUTHORITY\NETWORK SERVICE
2025-04-01 09:57:14,459 - INFO - Software: PID: 5224, Name: powershell.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,459 - INFO - Software: PID: 5260, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,460 - INFO - Software: PID: 5376, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,461 - INFO - Software: PID: 5644, Name: jhi_service.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,461 - INFO - Software: PID: 5832, Name: taskhostw.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,462 - INFO - Software: PID: 5996, Name: SgrmBroker.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,463 - INFO - Software: PID: 6100, Name: svchost.exe, Username; NT AUTHORITY\LOCAL SERVICE
2025-04-01 09:57:14,463 - INFO - Software: PID: 6384, Name: RuntimeBroker.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,464 - INFO - Software: PID: 6448, Name: node.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,465 - INFO - Software: PID: 6492, Name: conhost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,465 - INFO - Software: PID: 6612, Name: client32.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,465 - INFO - Software: PID: 6620, Name: sqlservr.exe, Username; NT SERVICE\MSSQL$SQLEXPRESS
2025-04-01 09:57:14,466 - INFO - Software: PID: 6660, Name: ReportingServicesService.exe, Username; NT SERVICE\ReportServer$SQLEXPRESS
2025-04-01 09:57:14,467 - INFO - Software: PID: 6676, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,467 - INFO - Software: PID: 6900, Name: svchost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,468 - INFO - Software: PID: 6928, Name: MsMpEng.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,468 - INFO - Software: PID: 6988, Name: hasplmv.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,469 - INFO - Software: PID: 7112, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,469 - INFO - Software: PID: 7188, Name: fdlauncher.exe, Username; NT SERVICE\MSSQLFDLauncher$SQLEXPRESS
2025-04-01 09:57:14,470 - INFO - Software: PID: 7400, Name: swrm.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,470 - INFO - Software: PID: 7412, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,471 - INFO - Software: PID: 7428, Name: conhost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,471 - INFO - Software: PID: 7540, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,472 - INFO - Software: PID: 7644, Name: dllhost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,472 - INFO - Software: PID: 7688, Name: ApplicationFrameHost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,473 - INFO - Software: PID: 8008, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,474 - INFO - Software: PID: 8068, Name: TiWorker.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,475 - INFO - Software: PID: 8108, Name: svchost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,476 - INFO - Software: PID: 8144, Name: hasplmv.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,476 - INFO - Software: PID: 8212, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,477 - INFO - Software: PID: 8264, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,477 - INFO - Software: PID: 8308, Name: MpDefenderCoreService.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,478 - INFO - Software: PID: 8416, Name: ctfmon.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,479 - INFO - Software: PID: 8484, Name: Code.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,479 - INFO - Software: PID: 8556, Name: SystemSettings.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,479 - INFO - Software: PID: 8576, Name: CCXProcess.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,480 - INFO - Software: PID: 8712, Name: sihost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,480 - INFO - Software: PID: 8788, Name: chrome.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,481 - INFO - Software: PID: 8792, Name: svchost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,482 - INFO - Software: PID: 8840, Name: svchost.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,482 - INFO - Software: PID: 9004, Name: taskhostw.exe, Username; 10PC324\Administrator
2025-04-01 09:57:14,483 - INFO - Software: PID: 9144, Name: svchost.exe, Username; NT AUTHORITY\SYSTEM
2025-04-01 09:57:14,483 - INFO - Software: PID: 9280, Name: chrome.exe, Username; 10PC324\Administrator
